Sample_Number,Load_L1_T1,Load_L2_T1,Load_L3_T1,Wind_W1_T1,Wind_W2_T1,Load_L1_T2,Load_L2_T2,Load_L3_T2,Wind_W1_T2,Wind_W2_T2,Load_L1_T3,Load_L2_T3,Load_L3_T3,Wind_W1_T3,Wind_W2_T3,Load_L1_T4,Load_L2_T4,Load_L3_T4,Wind_W1_T4,Wind_W2_T4,Load_L1_T5,Load_L2_T5,Load_L3_T5,Wind_W1_T5,Wind_W2_T5,Load_L1_T6,Load_L2_T6,Load_L3_T6,Wind_W1_T6,Wind_W2_T6,Load_L1_T7,Load_L2_T7,Load_L3_T7,Wind_W1_T7,Wind_W2_T7,Load_L1_T8,Load_L2_T8,Load_L3_T8,Wind_W1_T8,Wind_W2_T8,Load_L1_T9,Load_L2_T9,Load_L3_T9,Wind_W1_T9,Wind_W2_T9,Load_L1_T10,Load_L2_T10,Load_L3_T10,Wind_W1_T10,Wind_W2_T10,Load_L1_T11,Load_L2_T11,Load_L3_T11,Wind_W1_T11,Wind_W2_T11,Load_L1_T12,Load_L2_T12,Load_L3_T12,Wind_W1_T12,Wind_W2_T12,Load_L1_T13,Load_L2_T13,Load_L3_T13,Wind_W1_T13,Wind_W2_T13,Load_L1_T14,Load_L2_T14,Load_L3_T14,Wind_W1_T14,Wind_W2_T14,Load_L1_T15,Load_L2_T15,Load_L3_T15,Wind_W1_T15,Wind_W2_T15,Load_L1_T16,Load_L2_T16,Load_L3_T16,Wind_W1_T16,Wind_W2_T16,Load_L1_T17,Load_L2_T17,Load_L3_T17,Wind_W1_T17,Wind_W2_T17,Load_L1_T18,Load_L2_T18,Load_L3_T18,Wind_W1_T18,Wind_W2_T18,Load_L1_T19,Load_L2_T19,Load_L3_T19,Wind_W1_T19,Wind_W2_T19,Load_L1_T20,Load_L2_T20,Load_L3_T20,Wind_W1_T20,Wind_W2_T20,Load_L1_T21,Load_L2_T21,Load_L3_T21,Wind_W1_T21,Wind_W2_T21,Load_L1_T22,Load_L2_T22,Load_L3_T22,Wind_W1_T22,Wind_W2_T22,Load_L1_T23,Load_L2_T23,Load_L3_T23,Wind_W1_T23,Wind_W2_T23,Load_L1_T24,Load_L2_T24,Load_L3_T24,Wind_W1_T24,Wind_W2_T24
119,120,56,56,10,30,56,120,56,10,30,56,120,112,10,30,112,56,120,10,10,56,120,120,30,10,120,56,112,10,10,120,120,112,30,10,112,56,112,30,30,112,56,112,30,10,56,120,56,10,10,56,120,120,30,10,120,112,56,30,10,56,120,56,30,30,120,120,120,10,10,112,120,56,10,30,56,56,120,10,30,120,120,120,10,10,112,120,56,10,30,56,112,112,10,30,120,120,120,10,30,120,56,112,10,30,120,56,112,30,10,112,56,120,30,30,56,112,56,30,10
120,112,112,120,30,10,112,56,112,10,10,120,120,120,10,30,112,120,56,30,30,120,120,120,30,10,56,56,112,10,10,112,56,112,30,30,112,112,112,30,10,56,56,56,30,10,112,56,120,30,30,112,120,112,30,30,112,56,56,30,10,120,120,112,30,30,112,56,112,30,10,120,56,112,10,10,112,56,112,10,30,112,56,120,10,10,120,120,112,10,10,112,56,112,30,30,120,56,112,30,30,56,120,56,30,10,112,120,56,10,30,56,120,56,10,30,56,112,120,10,30
121,56,120,112,10,30,56,112,112,10,30,112,56,56,10,30,56,120,56,30,30,112,56,112,30,10,120,120,56,30,30,120,120,120,30,10,56,112,112,10,30,56,120,112,10,30,56,56,56,30,10,120,56,56,10,30,120,56,120,30,10,120,112,56,30,30,112,120,120,30,30,120,112,120,10,10,112,112,56,30,10,120,120,56,10,10,112,120,56,10,10,120,112,56,30,30,56,120,56,10,30,120,56,112,10,10,56,56,120,30,10,120,112,120,30,30,120,56,56,30,10
122,56,56,56,10,30,56,112,56,10,30,112,112,120,30,10,112,112,56,30,10,56,56,120,10,10,56,56,120,30,10,112,120,56,30,30,120,112,56,10,30,120,56,56,30,30,120,112,56,10,10,56,120,112,10,30,112,112,112,30,30,120,120,112,10,10,56,56,120,10,30,120,56,112,10,30,120,56,112,10,30,56,56,120,30,30,56,56,120,30,10,56,120,120,10,10,56,120,120,30,10,112,120,56,30,30,112,56,120,10,10,112,112,56,30,10,112,120,56,10,30
123,120,56,120,30,10,56,120,120,10,30,112,120,112,10,30,112,56,112,10,10,56,120,56,10,30,56,56,120,10,30,112,56,56,10,10,56,120,56,30,30,120,56,120,10,30,56,120,120,10,30,56,120,112,30,30,120,120,112,30,30,56,120,56,10,30,56,56,112,10,30,112,56,56,10,10,56,112,120,10,30,120,112,112,30,30,112,112,112,30,10,120,120,120,30,30,120,112,120,10,30,112,120,112,30,30,112,120,56,30,10,112,56,112,10,10,120,112,56,10,30
124,56,56,120,10,10,56,112,56,30,10,112,56,112,10,30,56,120,56,10,10,112,112,120,10,30,120,120,56,30,10,112,120,56,10,10,56,120,112,10,10,56,120,112,10,30,56,112,112,30,30,112,120,120,30,10,120,120,56,10,30,120,56,56,10,10,56,112,120,30,30,112,56,112,30,30,112,56,56,30,30,120,112,56,30,10,120,112,56,30,10,112,112,120,10,30,120,112,112,10,30,112,112,112,30,10,112,120,112,30,30,112,112,112,30,10,120,56,120,10,30
125,120,56,120,10,30,120,112,120,30,30,56,56,56,30,10,112,56,120,30,30,120,56,120,30,10,56,56,56,30,30,56,56,56,10,30,56,56,56,10,10,120,112,112,30,30,56,112,56,10,30,112,112,112,30,30,112,112,56,10,30,120,120,120,10,30,120,120,56,30,10,56,112,112,30,10,56,120,56,10,30,56,112,56,30,10,56,112,112,10,10,112,56,56,10,10,112,112,112,30,30,112,112,120,10,10,112,112,112,10,10,120,120,112,10,10,112,112,56,30,10
126,56,112,56,10,10,120,120,56,10,10,56,120,56,30,10,112,112,120,10,30,112,112,112,30,30,56,112,120,30,10,120,112,56,30,10,56,56,120,30,10,56,120,112,30,10,120,120,112,30,10,56,112,120,10,30,112,56,112,10,10,120,112,56,10,30,112,120,120,30,10,56,112,56,30,30,56,112,56,30,10,120,56,120,30,30,120,112,120,30,30,120,56,56,30,30,120,56,120,10,10,112,120,112,30,10,56,120,120,10,30,120,112,120,10,30,112,56,56,30,10
127,56,112,112,30,10,112,56,120,10,30,120,120,56,30,30,120,112,120,10,10,120,120,112,30,10,56,112,112,30,30,112,120,112,10,10,120,112,56,30,30,112,120,112,30,10,56,112,112,10,30,112,112,56,30,10,120,112,56,30,30,120,56,112,10,10,112,56,120,30,30,112,120,120,10,10,112,120,56,30,10,56,120,120,10,10,112,112,112,30,30,56,120,112,10,30,120,56,112,10,30,120,56,56,30,30,112,56,112,10,30,56,120,112,10,10,56,120,56,30,30
128,56,112,56,10,10,112,120,112,10,10,56,56,56,30,10,112,56,112,30,30,56,120,120,30,30,120,112,112,30,30,120,56,120,10,30,56,112,112,10,30,112,120,112,30,30,120,56,112,30,10,120,112,120,10,10,112,120,112,30,10,112,112,56,30,10,112,112,112,30,30,112,112,56,10,30,112,56,56,10,10,56,120,56,10,10,56,120,112,10,30,112,112,56,10,10,56,56,120,10,30,56,112,56,30,30,120,112,112,10,30,112,56,112,30,10,112,120,56,30,30
129,112,56,120,10,10,112,112,56,30,10,120,120,112,10,10,120,120,112,30,30,56,120,56,10,10,56,112,120,30,30,56,112,112,10,30,120,112,112,10,10,112,112,112,30,10,56,120,56,30,10,120,56,112,10,30,112,120,120,30,10,120,120,112,10,10,56,56,56,10,30,112,120,112,10,30,120,120,120,30,10,120,112,120,10,10,56,120,56,30,30,112,120,120,10,30,112,112,112,30,10,120,112,120,30,10,120,56,112,30,30,120,112,120,10,30,112,56,56,30,10
130,56,56,56,30,10,120,120,112,30,30,112,120,112,30,10,112,56,56,10,30,112,120,120,10,10,112,56,112,30,30,56,120,120,30,10,120,56,56,10,30,112,56,120,30,30,112,120,112,10,30,56,56,56,30,30,120,120,56,30,30,56,120,56,10,10,112,120,56,10,30,120,56,120,10,10,120,112,112,10,30,56,112,112,30,10,112,112,56,30,30,56,120,56,30,10,120,112,112,30,10,56,56,56,30,30,120,112,56,30,30,120,112,120,30,30,120,112,56,10,30
131,56,112,112,10,10,56,56,112,10,30,120,56,120,10,30,56,120,56,30,10,56,120,120,30,30,56,112,56,30,30,112,120,56,10,30,112,56,56,30,30,112,112,56,30,30,112,120,112,10,30,112,56,56,30,10,112,56,112,30,10,56,56,120,30,10,112,112,112,10,10,120,112,56,30,30,112,56,120,10,10,56,56,120,30,30,112,56,56,30,10,112,112,56,30,10,56,120,56,30,10,120,56,56,30,10,112,56,56,30,30,120,56,112,10,10,120,56,112,10,10
132,112,112,120,30,10,112,56,112,30,10,120,56,120,30,30,56,120,56,30,10,56,120,112,10,10,112,112,56,10,30,120,112,56,30,30,112,112,56,10,30,112,112,112,10,10,112,56,120,10,10,112,112,56,10,30,120,56,112,30,30,56,120,112,30,30,112,112,120,10,30,112,112,56,30,30,112,120,120,10,30,56,56,56,10,10,56,120,56,10,30,112,112,112,30,30,112,112,56,30,10,112,56,120,10,30,112,56,112,30,30,112,120,112,30,10,120,56,120,30,30
133,120,120,112,10,10,112,120,56,30,10,112,120,112,30,10,120,56,112,30,30,56,120,112,30,30,56,112,56,30,30,120,112,56,10,10,120,112,120,30,10,120,112,120,30,10,112,56,56,30,30,112,120,120,30,10,112,112,112,30,30,56,112,112,30,10,112,120,112,10,30,112,120,56,10,10,120,120,112,30,10,112,112,112,30,30,112,112,120,10,10,112,56,112,30,10,56,112,120,10,10,120,120,56,30,30,56,112,120,10,10,56,120,120,10,10,56,112,112,10,30
134,56,56,56,10,30,112,56,56,30,30,120,120,56,30,10,112,56,112,10,10,112,56,112,30,30,56,120,56,30,30,120,120,56,10,30,120,56,56,10,10,112,112,120,30,10,120,112,120,10,10,120,112,120,10,10,120,120,120,10,10,112,120,120,10,30,56,56,56,10,30,112,56,112,30,10,120,56,112,10,30,56,56,120,30,10,56,112,56,30,30,120,56,56,10,30,56,56,120,10,10,56,56,56,10,10,120,56,112,10,10,112,56,120,30,30,56,120,112,10,10
135,56,56,120,30,10,112,56,56,10,30,112,112,112,10,10,120,56,112,10,10,56,120,112,30,10,56,112,112,30,10,56,56,120,10,10,120,120,112,30,10,120,56,56,30,30,56,112,120,30,10,120,56,120,10,10,56,112,120,10,30,112,112,120,30,10,56,120,56,10,10,120,120,56,30,30,56,120,120,30,30,120,112,120,10,10,112,56,120,30,30,120,120,120,30,30,120,120,56,10,10,120,112,120,30,10,120,120,120,30,30,120,120,120,10,30,112,112,56,10,10
136,120,56,56,10,10,112,112,56,30,10,56,112,112,10,10,56,56,120,30,30,120,120,112,10,10,120,56,120,30,10,56,120,120,10,10,120,56,56,30,30,56,56,56,30,30,112,56,112,30,10,112,112,56,10,30,120,56,120,30,10,120,56,112,10,10,56,56,112,30,10,120,56,112,10,30,120,56,56,30,30,112,120,112,30,30,112,120,112,30,10,120,112,56,10,30,112,120,120,30,30,120,112,120,10,10,112,120,112,30,10,56,112,56,10,10,56,112,56,10,10
137,120,112,112,10,30,112,112,112,10,10,112,56,120,30,10,112,56,56,10,30,120,56,56,30,30,120,112,56,30,10,112,120,56,30,30,56,112,56,30,30,112,112,112,30,30,112,56,112,10,10,56,112,120,30,30,56,112,112,30,10,112,112,120,10,10,112,56,112,10,30,112,56,112,30,10,112,120,112,30,10,112,120,120,30,10,56,56,112,10,30,56,56,120,10,30,120,120,56,10,10,56,120,56,30,10,112,56,120,10,10,120,120,120,30,30,112,120,112,30,10
138,112,56,56,10,10,112,120,112,10,10,56,56,112,10,30,120,112,120,10,30,112,112,120,10,30,56,120,56,10,30,56,56,112,10,10,56,56,120,30,30,120,56,56,10,10,56,112,112,10,30,112,56,112,10,10,112,56,56,30,10,56,112,120,30,30,112,112,56,30,10,112,56,56,30,10,120,56,56,30,10,56,112,112,10,30,56,112,56,30,10,56,112,112,30,10,112,120,56,10,30,56,120,120,30,30,120,56,112,10,10,112,112,112,10,30,56,56,56,30,30
139,112,112,120,30,10,112,112,56,30,30,56,120,112,10,10,56,120,112,10,10,112,112,56,10,10,56,112,112,30,10,112,120,112,10,10,120,56,56,10,10,120,120,112,10,30,120,56,120,10,10,120,120,120,10,30,56,56,120,10,30,56,120,120,10,10,56,120,120,10,10,120,112,56,10,10,120,56,120,30,10,120,56,112,30,30,112,112,56,30,10,56,120,56,10,30,56,112,56,10,30,120,112,112,10,30,56,120,112,30,30,112,112,56,30,30,56,112,56,30,10
140,112,120,56,30,30,120,120,120,30,10,56,120,56,30,30,56,56,112,30,30,112,120,112,30,30,120,56,120,30,10,112,120,56,30,30,112,56,120,30,10,56,112,120,30,30,112,112,120,10,10,120,56,112,30,10,56,120,112,30,10,120,112,56,30,10,56,112,56,10,30,56,56,112,30,10,56,56,112,10,10,56,120,120,10,30,56,120,112,30,30,120,120,120,30,30,56,56,120,10,10,120,56,56,10,10,120,56,56,30,10,112,120,120,10,10,56,56,120,30,10
141,112,120,120,30,30,120,120,56,10,30,56,56,56,10,30,56,56,112,30,10,112,112,112,10,30,56,120,56,30,10,120,120,112,30,30,112,120,56,10,10,120,56,56,30,10,56,120,56,30,10,56,120,56,10,10,120,120,112,30,30,120,56,112,30,10,120,120,56,10,30,56,112,56,10,30,56,56,56,10,30,112,120,56,10,10,56,112,112,30,10,112,120,56,30,30,120,56,112,30,10,56,120,112,30,10,120,120,120,30,10,112,56,56,10,10,120,120,120,30,30
142,112,112,120,10,30,112,56,56,10,10,112,120,112,10,10,120,112,120,10,10,56,120,112,10,30,56,120,120,30,10,112,56,56,30,10,112,120,120,30,10,56,56,112,10,30,56,120,112,30,30,112,56,56,30,10,112,120,56,30,10,120,112,112,10,10,112,112,56,10,30,120,120,56,10,30,120,120,120,10,10,120,112,120,10,10,112,56,120,30,30,56,112,112,10,10,56,112,120,10,10,120,112,112,30,30,56,56,56,10,30,112,56,56,30,10,112,56,120,10,10
143,112,112,120,30,30,56,56,120,10,30,56,56,112,30,10,56,56,112,30,10,112,56,56,30,10,120,112,112,10,10,56,120,112,10,10,120,56,56,10,10,120,112,56,30,30,120,120,56,30,10,112,56,112,10,10,56,120,56,10,30,120,120,56,10,10,112,112,112,10,10,120,56,56,30,10,120,112,120,30,10,120,56,112,10,10,112,56,112,10,10,56,56,120,30,10,120,112,120,10,30,120,56,112,10,30,56,112,112,10,30,120,112,112,10,10,120,120,120,30,30
144,56,120,56,10,30,112,56,56,10,10,56,112,120,10,30,56,120,56,30,30,120,120,120,10,10,120,56,120,10,30,56,120,56,30,10,120,56,120,30,10,120,56,112,30,30,56,120,56,30,10,120,120,112,30,30,112,120,56,10,30,56,120,56,30,10,56,56,112,30,10,120,120,120,30,30,120,56,112,10,10,120,56,112,10,30,112,120,56,10,30,112,112,120,30,10,56,120,112,10,30,56,112,120,10,10,120,120,112,10,30,120,112,120,10,10,56,120,56,30,10
145,56,120,120,10,30,112,112,112,30,10,56,112,56,30,30,56,112,120,30,30,112,56,120,10,10,112,120,120,10,30,56,56,56,30,30,120,120,56,10,30,120,56,56,30,10,56,56,120,30,10,120,120,56,30,30,120,56,112,30,30,112,56,112,10,10,56,112,56,10,10,112,112,56,10,10,112,120,112,10,30,56,56,112,10,10,120,112,120,30,10,56,120,56,10,10,120,112,56,30,30,112,120,112,30,10,120,120,120,30,10,56,112,112,10,30,56,56,112,30,10
146,56,120,56,10,10,120,112,56,10,10,56,56,120,30,10,56,120,120,10,10,120,56,120,30,30,112,56,112,30,30,112,112,56,30,10,120,56,112,10,10,112,56,120,30,10,112,112,120,30,30,112,56,120,30,30,112,112,112,10,10,120,112,120,10,30,112,112,56,10,30,56,120,112,30,10,56,120,56,30,10,112,56,112,10,10,56,112,120,30,30,56,120,56,10,30,56,56,120,30,30,112,112,112,10,10,120,120,56,10,10,56,120,112,10,30,120,56,56,30,10
147,120,112,56,30,30,112,120,120,30,10,120,56,112,30,10,56,112,56,10,10,120,120,56,10,10,120,120,120,10,10,120,120,112,30,30,120,120,112,30,30,112,112,120,30,10,112,56,120,30,30,112,56,120,10,10,56,56,112,10,10,56,112,120,10,30,112,56,112,30,30,120,120,56,30,10,112,120,120,10,30,56,120,56,30,30,112,56,120,10,30,56,112,112,30,10,120,56,56,10,10,120,120,56,10,30,56,112,56,10,10,56,112,120,10,10,120,56,56,10,10
148,56,112,120,30,30,120,56,120,10,30,112,112,112,10,30,120,56,120,30,30,112,56,56,30,10,120,120,56,10,10,112,120,112,30,10,56,120,112,10,30,120,112,56,30,10,56,112,112,10,30,112,112,120,30,30,112,56,56,30,10,112,120,112,10,10,120,112,56,10,30,120,112,112,30,30,56,120,112,30,30,112,120,120,10,30,120,56,112,30,30,120,112,112,30,30,112,56,112,30,30,56,56,56,10,30,120,120,112,10,10,56,112,112,30,10,112,56,56,10,10
149,112,56,112,10,10,120,112,56,30,30,56,120,56,10,10,120,120,120,10,10,56,112,120,30,30,120,112,56,30,10,112,120,120,10,10,112,120,56,10,30,56,120,120,30,30,120,112,120,30,30,120,120,120,30,10,120,120,120,30,10,120,112,112,30,10,56,120,120,30,10,56,112,56,30,10,120,112,120,30,10,112,120,56,10,30,120,120,112,10,10,112,56,56,30,10,112,120,112,30,30,120,120,112,30,30,120,112,120,10,10,112,56,112,10,30,112,56,56,30,10
150,56,120,120,30,10,56,112,56,10,30,112,120,112,10,30,120,120,56,10,30,112,120,56,10,10,112,56,56,30,10,120,56,112,10,30,112,56,112,30,30,56,56,56,10,10,56,56,112,10,10,56,120,120,10,10,56,112,120,30,30,56,112,112,10,10,120,120,56,10,30,120,112,112,30,30,56,120,112,10,10,56,112,56,30,30,112,112,112,10,10,120,56,112,10,30,120,120,56,10,10,112,120,56,30,30,120,112,112,30,10,112,120,56,10,30,112,112,120,10,10
151,56,56,56,30,10,112,56,56,30,30,56,56,112,10,30,120,120,120,30,30,56,120,112,30,10,112,56,120,30,30,56,120,112,30,30,56,112,56,30,10,120,112,120,10,30,56,120,120,30,30,120,112,56,10,30,112,56,56,30,10,112,56,56,30,10,120,120,56,30,10,112,56,56,10,30,120,56,120,30,30,120,120,120,30,10,120,112,112,30,30,112,120,112,10,30,56,120,56,30,10,120,120,56,30,10,120,56,112,30,30,112,112,120,10,30,120,112,112,30,10
152,120,56,56,10,10,56,112,112,30,30,112,56,120,30,10,56,112,112,10,10,56,120,56,30,10,112,56,120,30,30,56,120,112,10,10,56,112,120,10,10,112,120,120,30,30,56,112,112,10,10,112,120,56,10,30,112,120,56,10,10,56,56,112,30,30,112,56,120,10,30,112,120,112,10,10,112,120,56,10,10,56,56,56,30,10,120,120,120,30,10,56,56,56,30,30,120,120,120,10,30,112,120,112,10,10,120,120,56,30,10,56,120,120,30,10,56,112,56,30,30
153,112,112,120,30,30,112,120,56,10,10,120,120,120,30,10,112,112,120,30,10,56,112,120,30,10,112,120,112,30,10,120,120,112,30,10,112,120,120,10,30,56,120,120,10,10,112,112,120,30,10,112,120,56,30,10,56,120,120,10,10,120,56,112,30,30,120,112,120,10,30,56,112,56,10,10,56,120,112,30,30,120,112,120,30,10,120,112,112,10,10,120,56,120,10,30,120,120,120,10,10,120,112,120,30,10,56,120,120,30,30,112,112,56,30,10,56,112,56,30,10
154,112,112,112,30,10,120,120,112,30,30,112,120,120,30,30,112,112,56,10,10,56,112,56,10,10,56,56,112,30,30,56,112,56,30,30,112,120,56,10,10,112,112,56,10,10,120,120,120,30,30,56,120,56,10,10,56,120,112,10,30,56,112,112,10,10,120,112,56,10,10,120,120,56,30,10,112,112,56,30,30,56,112,56,10,10,120,56,120,30,30,112,112,112,30,10,56,120,112,30,10,56,56,56,10,10,120,56,112,10,30,120,120,56,30,30,56,112,112,30,10
155,120,120,120,10,30,56,112,112,30,30,112,120,120,10,10,120,56,56,30,10,120,120,56,10,30,120,120,120,10,10,112,56,120,30,30,112,56,56,10,30,112,120,56,10,10,112,56,56,30,30,56,120,56,30,30,112,56,112,30,30,56,112,56,10,30,112,56,56,30,10,120,120,120,30,10,112,112,120,10,30,56,56,56,10,30,120,120,120,10,10,112,112,120,10,10,112,56,120,30,10,56,56,120,30,30,120,120,120,10,30,120,56,112,30,10,56,120,112,30,10
156,56,120,56,10,10,120,56,56,10,10,56,120,56,10,30,112,56,120,30,10,112,120,120,10,10,120,112,120,30,30,120,112,120,10,10,120,112,56,10,30,112,120,112,10,10,120,112,56,30,10,112,120,56,30,30,56,120,112,30,10,120,56,120,10,30,112,120,112,30,30,56,56,56,10,10,56,56,120,10,30,120,112,56,10,10,112,120,112,10,30,120,112,56,30,30,56,112,56,30,10,56,112,112,30,30,56,120,112,30,30,120,56,112,10,10,56,120,112,30,10
157,56,56,56,10,10,112,112,112,10,10,120,56,120,30,10,120,112,112,30,30,112,120,56,10,10,120,120,56,30,10,56,56,56,10,10,56,56,112,30,30,112,56,56,10,30,112,112,112,30,10,120,112,56,10,10,56,120,56,10,10,112,120,112,30,10,120,56,120,10,30,56,56,56,30,30,120,120,120,30,10,120,112,112,30,30,112,120,56,30,10,56,56,56,10,30,56,56,112,10,30,56,120,56,30,30,56,56,112,10,30,120,120,112,10,30,112,112,120,10,30
158,120,120,112,10,10,56,112,112,30,30,120,112,120,30,30,120,120,120,10,10,120,112,112,30,30,112,112,112,10,10,120,112,56,10,10,112,120,120,10,30,112,120,56,30,30,56,120,120,10,30,120,112,120,30,30,112,120,112,10,10,56,120,120,30,10,112,112,112,10,10,120,120,112,30,10,112,112,56,30,10,56,56,56,30,30,112,112,112,10,30,56,56,112,30,10,112,112,112,30,30,120,56,56,10,30,56,120,120,10,30,120,120,120,30,30,112,120,56,10,10
159,120,56,120,30,30,120,56,112,10,30,120,56,56,10,30,112,112,56,30,30,112,56,56,10,10,112,56,56,10,30,120,120,56,30,30,56,112,120,10,30,112,112,120,30,30,120,112,112,30,10,56,120,112,30,10,56,112,112,10,10,120,112,120,30,30,112,56,56,30,30,120,56,112,10,30,112,112,112,10,30,112,120,56,30,30,56,112,120,10,30,112,56,56,10,30,56,120,56,10,10,120,120,112,10,10,120,56,112,30,30,112,120,112,30,30,56,56,56,30,30
160,120,56,112,30,30,120,120,56,10,10,112,112,120,30,30,112,112,112,10,30,112,112,56,30,10,112,120,112,30,10,56,120,112,10,30,120,56,56,10,30,56,56,120,10,10,120,56,120,10,30,120,120,112,10,30,56,112,56,10,10,56,120,120,30,30,56,56,120,30,30,112,112,120,10,10,120,112,112,30,30,56,112,120,10,10,56,112,112,10,30,120,112,56,10,30,112,112,120,10,10,120,120,112,30,10,120,56,56,30,10,56,112,112,30,10,112,112,112,30,10
161,56,120,112,30,10,56,120,120,30,30,112,120,112,10,30,120,120,120,30,10,56,120,120,30,10,120,112,112,10,10,120,56,56,30,30,56,112,120,10,10,56,112,112,10,30,112,56,56,30,30,112,120,112,30,30,56,56,120,10,30,56,120,120,30,30,120,112,112,30,10,120,120,120,10,10,56,112,120,10,10,112,112,120,30,30,120,120,56,30,10,112,56,56,30,30,120,112,120,10,10,112,120,56,30,30,56,56,120,10,10,56,112,112,30,10,112,120,56,30,10
162,56,112,112,30,30,112,112,120,30,10,56,56,56,10,30,56,120,120,30,30,56,112,56,10,10,56,112,120,10,10,56,112,56,30,10,120,120,120,30,10,112,112,56,10,10,56,120,56,30,30,56,56,120,10,10,120,112,120,10,10,120,56,120,30,30,120,120,56,10,10,56,56,56,30,30,56,120,56,10,10,56,120,112,10,10,112,56,56,10,10,56,56,120,10,10,120,120,56,10,10,56,112,120,10,10,120,120,112,30,30,56,112,56,30,30,120,112,112,30,10
163,112,112,56,10,30,56,112,120,10,10,120,120,112,30,10,56,56,56,30,30,56,120,112,30,30,112,112,56,10,10,56,112,112,10,10,56,112,56,30,30,112,112,120,10,10,112,56,56,30,30,120,120,56,10,10,112,120,56,10,10,120,120,120,10,30,120,112,56,10,10,112,56,56,30,10,112,120,120,10,30,56,56,120,30,10,120,112,56,30,30,56,120,112,30,30,120,120,120,10,30,112,56,112,30,10,112,56,120,10,10,112,120,112,10,10,120,112,56,30,30
164,120,56,56,30,30,112,120,112,10,10,112,56,56,10,30,112,56,112,10,30,56,120,112,10,30,120,112,112,10,30,56,120,120,10,10,120,56,120,10,30,120,120,112,10,30,112,56,120,10,10,56,56,112,10,30,56,56,112,30,30,56,56,120,10,10,56,56,56,30,10,112,56,112,30,10,112,120,120,30,10,56,112,120,10,10,56,56,120,30,10,112,56,120,10,30,120,120,120,30,30,56,120,112,30,30,56,56,56,30,10,112,56,112,10,10,56,120,56,30,30
165,112,56,112,10,30,120,56,56,30,30,56,56,56,30,10,120,120,56,30,10,56,56,112,30,10,112,56,112,30,30,120,56,120,10,30,120,112,120,10,30,120,120,112,10,10,112,112,56,10,10,56,112,112,30,30,120,112,56,30,30,112,120,56,30,10,56,112,112,30,10,120,112,112,10,10,112,112,120,30,10,112,120,112,10,10,56,56,120,30,30,120,112,56,30,30,112,56,112,10,10,120,120,112,10,10,120,112,56,30,30,120,112,56,10,10,56,56,56,10,10
166,56,112,56,10,10,112,120,112,10,10,120,56,56,10,10,56,112,56,30,30,120,112,112,30,10,112,120,120,10,10,120,112,112,30,30,112,112,120,30,30,112,56,120,10,10,112,120,56,10,30,120,120,112,30,30,56,120,120,10,30,112,120,120,30,10,112,120,120,10,30,120,112,120,10,10,120,112,112,10,30,120,120,120,30,30,112,112,120,30,10,56,56,120,10,10,120,56,56,30,10,112,120,56,10,30,120,56,112,10,30,112,120,120,10,10,120,112,56,30,30
167,56,112,120,10,10,112,112,120,10,10,112,56,120,10,30,120,112,120,10,30,112,112,120,10,10,120,56,120,10,30,120,56,112,10,10,112,120,56,10,10,112,112,120,30,30,120,112,112,10,30,56,56,56,10,30,112,120,120,10,10,120,112,120,10,10,56,120,56,10,30,56,56,112,10,30,56,56,112,10,10,56,56,112,10,10,112,112,56,10,10,120,56,120,10,30,56,112,112,30,30,112,112,112,30,10,112,112,120,10,30,56,56,112,10,10,120,120,120,30,10
168,112,120,120,30,10,112,120,56,30,10,112,120,120,10,30,56,120,112,30,30,112,120,120,10,10,112,112,120,10,30,120,120,120,30,30,120,112,120,30,10,112,120,112,30,10,112,112,112,10,10,56,112,112,30,30,120,120,112,10,10,120,56,120,30,30,112,120,56,10,10,112,120,120,30,10,56,120,56,30,10,120,56,56,10,10,120,112,112,10,30,112,56,120,10,10,56,56,112,10,10,56,120,112,10,10,120,120,120,10,10,112,120,120,30,30,112,112,56,30,10
169,112,112,112,30,10,120,112,112,10,10,120,112,56,30,10,120,120,112,30,10,56,56,112,10,10,56,120,112,30,10,120,112,56,10,30,112,56,120,30,10,56,56,112,10,30,112,56,56,30,30,112,56,56,30,30,56,56,56,30,30,120,56,56,30,10,112,112,112,10,30,56,120,56,30,10,120,120,120,30,10,120,120,56,30,30,56,56,120,10,10,112,56,120,30,10,120,112,56,10,10,112,56,120,30,10,112,56,56,10,30,120,112,120,30,30,112,120,56,30,30
170,112,112,120,30,30,120,56,120,10,30,120,120,112,30,30,56,120,120,30,30,56,112,56,30,10,120,112,120,30,30,120,120,120,10,10,112,120,56,10,30,112,112,112,30,10,112,120,120,30,30,56,56,120,10,10,112,120,120,30,30,120,112,120,30,30,112,112,56,30,30,120,112,56,30,30,112,112,56,10,10,56,56,112,30,10,112,56,56,30,10,112,56,56,30,30,112,112,120,10,10,112,112,112,30,30,120,56,112,10,10,56,112,120,30,30,112,120,112,10,10
171,56,112,112,10,10,56,120,112,10,10,56,120,120,10,30,120,56,112,10,10,56,112,112,10,30,56,112,120,10,10,56,120,112,10,30,112,120,56,10,30,120,56,112,30,10,56,120,112,10,30,56,56,112,10,30,120,112,56,10,30,120,120,120,30,10,56,112,120,30,10,56,56,120,30,30,56,56,112,10,10,56,120,56,10,30,56,120,56,30,10,112,120,112,10,10,120,120,120,10,30,112,120,112,10,30,120,56,56,10,10,56,56,56,30,10,56,120,112,10,30
